

  1r          |                       |    |    |    |(I )(I )      |     
3134: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3135: *#       |                       |lw  |    |    |(TC)(I )      |     
3136: *#       |                       |    |#   |    |(RD)(TC)      |     
3137: *#       |                       |    |#   |    |(W )(RD)      |     
3138: *00000310|                       |    |lw  |    |(W )(W )      |     
3139: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3140: *#       |                       |addi|    |    |(TC)(I )      |     
3141: *#       |                       |    |addi|    |(RD)(I )      |     
3142: *00000314|                       |    |    |addi|(W )(I )      |     
3143: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3144: *#       |                       |addi|    |    |(TC)(I )      |     
3145: *#       |                       |    |addi|    |(RD)(I )      |     
3146: *00000318|                       |    |    |addi|(W )(I )      |     
3147: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3148: *#       |                       |add |    |    |(TC)(I )      |     
3149: *#       |                       |    |add |    |(RD)(I )      |     
3150: *0000031c|                       |    |    |add |(W )(I )      |     
3151: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3152: *#       |                       |sw  |    |    |(TC)(I )      |     
3153: *#       |                       |    |#   |    |(RD)(TC)      |     
3154: *#       |                       |    |#   |    |(W )(WD)      |     
3155: *00000320|                       |    |sw  |    |(W )(W )      |     
3156: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3157: *#       |                       |addi|    |    |(TC)(I )      |     
3158: *#       |                       |    |addi|    |(RD)(I )      |     
3159: *00000324|                       |    |    |addi|(W )(I )      |     
3160: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3161: */       |                       |bne |    |    |(TC)(I )      |     
3162: *#       |                       |    |bne |    |(RD)(I )      |     
3163: *#       |                       |    |    |bne |(W )(I )      |     
3164: *#       |                       |    |    |    |(I )(I )      |     
3165: *#       |                       |    |    |    |(TC)(I )      |     
3166: *#       |                       |    |    |    |(RD)(I )      |     
3167: *00000308|                       |    |    |    |(W )(I )      |     
3168: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3169: *#       |                       |lw  |    |    |(TC)(I )      |     
3170: *#       |                       |    |#   |    |(RD)(TC)      |     
3171: *#       |                       |    |#   |    |(W )(RD)      |     
3172: *0000030c|                       |    |lw  |    |(W )(W )      |     
3173: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3174: *#       |                       |lw  |    |    |(TC)(I )      |     
3175: *#       |                       |    |#   |    |(RD)(TC)      |     
3176: *#       |                       |    |#   |    |(W )(RD)      |     
3177: *00000310|                       |    |lw  |    |(W )(W )      |     
3178: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3179: *#       |                       |addi|    |    |(TC)(I )      |     
3180: *#       |                       |    |addi|    |(RD)(I )      |     
3181: *00000314|                       |    |    |addi|(W )(I )      |     
3182: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3183: *#       |                       |addi|    |    |(TC)(I )      |     
3184: *#       |                       |    |addi|    |(RD)(I )      |     
3185: *00000318|                       |    |    |addi|(W )(I )      |     
3186: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3187: *#       |                       |add |    |    |(TC)(I )      |     
3188: *#       |                       |    |add |    |(RD)(I )      |     
3189: *0000031c|                       |    |    |add |(W )(I )      |     
3190: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3191: *#       |                       |sw  |    |    |(TC)(I )      |     
3192: *#       |                       |    |#   |    |(RD)(TC)      |     
3193: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3194: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3195: *#       |                       |    |#   |    |(W )(RU)      |     
3196: *#       |                       |    |#   |    |(W )(WD)      |     
3197: *00000320|                       |    |sw  |    |(W )(W )      |     
3198: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3199: *#       |                       |addi|    |    |(TC)(I )      |     
3200: *#       |                       |    |addi|    |(RD)(I )      |     
3201: *00000324|                       |    |    |addi|(W )(I )      |     
3202: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3203: */       |                       |bne |    |    |(TC)(I )      |     
3204: *#       |                       |    |bne |    |(RD)(I )      |     
3205: *#       |                       |    |    |bne |(W )(I )      |     
3206: *#       |                       |    |    |    |(I )(I )      |     
3207: *#       |                       |    |    |    |(TC)(I )      |     
3208: *#       |                       |    |    |    |(RD)(I )      |     
3209: *00000308|                       |    |    |    |(W )(I )      |     
3210: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3211: *#       |                       |lw  |    |    |(TC)(I )      |     
3212: *#       |                       |    |#   |    |(RD)(TC)      |     
3213: *#       |                       |    |#   |    |(W )(EP)      |     
3214: *#       |                       |    |#   |    |(W )(ER)      |wr>  
3215: *#       |                       |    |#   |    |(W )(EW)      |  >wr
3216: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3217: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3218: *#       |                       |    |#   |    |(W )(RU)      |     
3219: *#       |                       |    |#   |    |(W )(RD)      |     
3220: *0000030c|                       |    |lw  |    |(W )(W )      |     
3221: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3222: *#       |                       |lw  |    |    |(TC)(I )      |     
3223: *#       |                       |    |#   |    |(RD)(TC)      |     
3224: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3225: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3226: *#       |                       |    |#   |    |(W )(RU)      |     
3227: *#       |                       |    |#   |    |(W )(RD)      |     
3228: *00000310|                       |    |lw  |    |(W )(W )      |     
3229: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3230: *#       |                       |addi|    |    |(TC)(I )      |     
3231: *#       |                       |    |addi|    |(RD)(I )      |     
3232: *00000314|                       |    |    |addi|(W )(I )      |     
3233: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3234: *#       |                       |addi|    |    |(TC)(I )      |     
3235: *#       |                       |    |addi|    |(RD)(I )      |     
3236: *00000318|                       |    |    |addi|(W )(I )      |     
3237: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3238: *#       |                       |add |    |    |(TC)(I )      |     
3239: *#       |                       |    |add |    |(RD)(I )      |     
3240: *0000031c|                       |    |    |add |(W )(I )      |     
3241: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3242: *#       |                       |sw  |    |    |(TC)(I )      |     
3243: *#       |                       |    |#   |    |(RD)(TC)      |     
3244: *#       |                       |    |#   |    |(W )(WD)      |     
3245: *00000320|                       |    |sw  |    |(W )(W )      |     
3246: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3247: *#       |                       |addi|    |    |(TC)(I )      |     
3248: *#       |                       |    |addi|    |(RD)(I )      |     
3249: *00000324|                       |    |    |addi|(W )(I )      |     
3250: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3251: */       |                       |bne |    |    |(TC)(I )      |     
3252: *#       |                       |    |bne |    |(RD)(I )      |     
3253: *#       |                       |    |    |bne |(W )(I )      |     
3254: *#       |                       |    |    |    |(I )(I )      |     
3255: *#       |                       |    |    |    |(TC)(I )      |     
3256: *#       |                       |    |    |    |(RD)(I )      |     
3257: *00000308|                       |    |    |    |(W )(I )      |     
3258: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3259: *#       |                       |lw  |    |    |(TC)(I )      |     
3260: *#       |                       |    |#   |    |(RD)(TC)      |     
3261: *#       |                       |    |#   |    |(W )(RD)      |     
3262: *0000030c|                       |    |lw  |    |(W )(W )      |     
3263: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3264: *#       |                       |lw  |    |    |(TC)(I )      |     
3265: *#       |                       |    |#   |    |(RD)(TC)      |     
3266: *#       |                       |    |#   |    |(W )(RD)      |     
3267: *00000310|                       |    |lw  |    |(W )(W )      |     
3268: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3269: *#       |                       |addi|    |    |(TC)(I )      |     
3270: *#       |                       |    |addi|    |(RD)(I )      |     
3271: *00000314|                       |    |    |addi|(W )(I )      |     
3272: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3273: *#       |                       |addi|    |    |(TC)(I )      |     
3274: *#       |                       |    |addi|    |(RD)(I )      |     
3275: *00000318|                       |    |    |addi|(W )(I )      |     
3276: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3277: *#       |                       |add |    |    |(TC)(I )      |     
3278: *#       |                       |    |add |    |(RD)(I )      |     
3279: *0000031c|                       |    |    |add |(W )(I )      |     
3280: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3281: *#       |                       |sw  |    |    |(TC)(I )      |     
3282: *#       |                       |    |#   |    |(RD)(TC)      |     
3283: *#       |                       |    |#   |    |(W )(WD)      |     
3284: *00000320|                       |    |sw  |    |(W )(W )      |     
3285: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3286: *#       |                       |addi|    |    |(TC)(I )      |     
3287: *#       |                       |    |addi|    |(RD)(I )      |     
3288: *00000324|                       |    |    |addi|(W )(I )      |     
3289: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3290: */       |                       |bne |    |    |(TC)(I )      |     
3291: *#       |                       |    |bne |    |(RD)(I )      |     
3292: *#       |                       |    |    |bne |(W )(I )      |     
3293: *#       |                       |    |    |    |(I )(I )      |     
3294: *#       |                       |    |    |    |(TC)(I )      |     
3295: *#       |                       |    |    |    |(RD)(I )      |     
3296: *00000308|                       |    |    |    |(W )(I )      |     
3297: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3298: *#       |                       |lw  |    |    |(TC)(I )      |     
3299: *#       |                       |    |#   |    |(RD)(TC)      |     
3300: *#       |                       |    |#   |    |(W )(RD)      |     
3301: *0000030c|                       |    |lw  |    |(W )(W )      |     
3302: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3303: *#       |                       |lw  |    |    |(TC)(I )      |     
3304: *#       |                       |    |#   |    |(RD)(TC)      |     
3305: *#       |                       |    |#   |    |(W )(RD)      |     
3306: *00000310|                       |    |lw  |    |(W )(W )      |     
3307: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3308: *#       |                       |addi|    |    |(TC)(I )      |     
3309: *#       |                       |    |addi|    |(RD)(I )      |     
3310: *00000314|                       |    |    |addi|(W )(I )      |     
3311: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3312: *#       |                       |addi|    |    |(TC)(I )      |     
3313: *#       |                       |    |addi|    |(RD)(I )      |     
3314: *00000318|                       |    |    |addi|(W )(I )      |     
3315: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3316: *#       |                       |add |    |    |(TC)(I )      |     
3317: *#       |                       |    |add |    |(RD)(I )      |     
3318: *0000031c|                       |    |    |add |(W )(I )      |     
3319: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3320: *#       |                       |sw  |    |    |(TC)(I )      |     
3321: *#       |                       |    |#   |    |(RD)(TC)      |     
3322: *#       |                       |    |#   |    |(W )(WD)      |     
3323: *00000320|                       |    |sw  |    |(W )(W )      |     
3324: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3325: *#       |                       |addi|    |    |(TC)(I )      |     
3326: *#       |                       |    |addi|    |(RD)(I )      |     
3327: *00000324|                       |    |    |addi|(W )(I )      |     
3328: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3329: */       |                       |bne |    |    |(TC)(I )      |     
3330: *#       |                       |    |bne |    |(RD)(I )      |     
3331: *#       |                       |    |    |bne |(W )(I )      |     
3332: *#       |                       |    |    |    |(I )(I )      |     
3333: *#       |                       |    |    |    |(TC)(I )      |     
3334: *#       |                       |    |    |    |(RD)(I )      |     
3335: *00000308|                       |    |    |    |(W )(I )      |     
3336: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3337: *#       |                       |lw  |    |    |(TC)(I )      |     
3338: *#       |                       |    |#   |    |(RD)(TC)      |     
3339: *#       |                       |    |#   |    |(W )(RD)      |     
3340: *0000030c|                       |    |lw  |    |(W )(W )      |     
3341: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3342: *#       |                       |lw  |    |    |(TC)(I )      |     
3343: *#       |                       |    |#   |    |(RD)(TC)      |     
3344: *#       |                       |    |#   |    |(W )(RD)      |     
3345: *00000310|                       |    |lw  |    |(W )(W )      |     
3346: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3347: *#       |                       |addi|    |    |(TC)(I )      |     
3348: *#       |                       |    |addi|    |(RD)(I )      |     
3349: *00000314|                       |    |    |addi|(W )(I )      |     
3350: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3351: *#       |                       |addi|    |    |(TC)(I )      |     
3352: *#       |                       |    |addi|    |(RD)(I )      |     
3353: *00000318|                       |    |    |addi|(W )(I )      |     
3354: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3355: *#       |                       |add |    |    |(TC)(I )      |     
3356: *#       |                       |    |add |    |(RD)(I )      |     
3357: *0000031c|                       |    |    |add |(W )(I )      |     
3358: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3359: *#       |                       |sw  |    |    |(TC)(I )      |     
3360: *#       |                       |    |#   |    |(RD)(TC)      |     
3361: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3362: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3363: *#       |                       |    |#   |    |(W )(RU)      |     
3364: *#       |                       |    |#   |    |(W )(WD)      |     
3365: *00000320|                       |    |sw  |    |(W )(W )      |     
3366: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3367: *#       |                       |addi|    |    |(TC)(I )      |     
3368: *#       |                       |    |addi|    |(RD)(I )      |     
3369: *00000324|                       |    |    |addi|(W )(I )      |     
3370: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3371: */       |                       |bne |    |    |(TC)(I )      |     
3372: *#       |                       |    |bne |    |(RD)(I )      |     
3373: *#       |                       |    |    |bne |(W )(I )      |     
3374: *#       |                       |    |    |    |(I )(I )      |     
3375: *#       |                       |    |    |    |(TC)(I )      |     
3376: *#       |                       |    |    |    |(RD)(I )      |     
3377: *00000308|                       |    |    |    |(W )(I )      |     
3378: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3379: *#       |                       |lw  |    |    |(TC)(I )      |     
3380: *#       |                       |    |#   |    |(RD)(TC)      |     
3381: *#       |                       |    |#   |    |(W )(EP)      |     
3382: *#       |                       |    |#   |    |(W )(ER)      |wr>  
3383: *#       |                       |    |#   |    |(W )(EW)      |  >wr
3384: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3385: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3386: *#       |                       |    |#   |    |(W )(RU)      |     
3387: *#       |                       |    |#   |    |(W )(RD)      |     
3388: *0000030c|                       |    |lw  |    |(W )(W )      |     
3389: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3390: *#       |                       |lw  |    |    |(TC)(I )      |     
3391: *#       |                       |    |#   |    |(RD)(TC)      |     
3392: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3393: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3394: *#       |                       |    |#   |    |(W )(RU)      |     
3395: *#       |                       |    |#   |    |(W )(RD)      |     
3396: *00000310|                       |    |lw  |    |(W )(W )      |     
3397: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3398: *#       |                       |addi|    |    |(TC)(I )      |     
3399: *#       |                       |    |addi|    |(RD)(I )      |     
3400: *00000314|                       |    |    |addi|(W )(I )      |     
3401: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3402: *#       |                       |addi|    |    |(TC)(I )      |     
3403: *#       |                       |    |addi|    |(RD)(I )      |     
3404: *00000318|                       |    |    |addi|(W )(I )      |     
3405: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3406: *#       |                       |add |    |    |(TC)(I )      |     
3407: *#       |                       |    |add |    |(RD)(I )      |     
3408: *0000031c|                       |    |    |add |(W )(I )      |     
3409: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3410: *#       |                       |sw  |    |    |(TC)(I )      |     
3411: *#       |                       |    |#   |    |(RD)(TC)      |     
3412: *#       |                       |    |#   |    |(W )(WD)      |     
3413: *00000320|                       |    |sw  |    |(W )(W )      |     
3414: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3415: *#       |                       |addi|    |    |(TC)(I )      |     
3416: *#       |                       |    |addi|    |(RD)(I )      |     
3417: *00000324|                       |    |    |addi|(W )(I )      |     
3418: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3419: */       |                       |bne |    |    |(TC)(I )      |     
3420: *#       |                       |    |bne |    |(RD)(I )      |     
3421: *#       |                       |    |    |bne |(W )(I )      |     
3422: *#       |                       |    |    |    |(I )(I )      |     
3423: *#       |                       |    |    |    |(TC)(I )      |     
3424: *#       |                       |    |    |    |(RD)(I )      |     
3425: *00000308|                       |    |    |    |(W )(I )      |     
3426: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3427: *#       |                       |lw  |    |    |(TC)(I )      |     
3428: *#       |                       |    |#   |    |(RD)(TC)      |     
3429: *#       |                       |    |#   |    |(W )(RD)      |     
3430: *0000030c|                       |    |lw  |    |(W )(W )      |     
3431: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3432: *#       |                       |lw  |    |    |(TC)(I )      |     
3433: *#       |                       |    |#   |    |(RD)(TC)      |     
3434: *#       |                       |    |#   |    |(W )(RD)      |     
3435: *00000310|                       |    |lw  |    |(W )(W )      |     
3436: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3437: *#       |                       |addi|    |    |(TC)(I )      |     
3438: *#       |                       |    |addi|    |(RD)(I )      |     
3439: *00000314|                       |    |    |addi|(W )(I )      |     
3440: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3441: *#       |                       |addi|    |    |(TC)(I )      |     
3442: *#       |                       |    |addi|    |(RD)(I )      |     
3443: *00000318|                       |    |    |addi|(W )(I )      |     
3444: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3445: *#       |                       |add |    |    |(TC)(I )      |     
3446: *#       |                       |    |add |    |(RD)(I )      |     
3447: *0000031c|                       |    |    |add |(W )(I )      |     
3448: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3449: *#       |                       |sw  |    |    |(TC)(I )      |     
3450: *#       |                       |    |#   |    |(RD)(TC)      |     
3451: *#       |                       |    |#   |    |(W )(WD)      |     
3452: *00000320|                       |    |sw  |    |(W )(W )      |     
3453: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3454: *#       |                       |addi|    |    |(TC)(I )      |     
3455: *#       |                       |    |addi|    |(RD)(I )      |     
3456: *00000324|                       |    |    |addi|(W )(I )      |     
3457: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3458: */       |                       |bne |    |    |(TC)(I )      |     
3459: *#       |                       |    |bne |    |(RD)(I )      |     
3460: *#       |                       |    |    |bne |(W )(I )      |     
3461: *#       |                       |    |    |    |(I )(I )      |     
3462: *#       |                       |    |    |    |(TC)(I )      |     
3463: *#       |                       |    |    |    |(RD)(I )      |     
3464: *00000308|                       |    |    |    |(W )(I )      |     
3465: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3466: *#       |                       |lw  |    |    |(TC)(I )      |     
3467: *#       |                       |    |#   |    |(RD)(TC)      |     
3468: *#       |                       |    |#   |    |(W )(RD)      |     
3469: *0000030c|                       |    |lw  |    |(W )(W )      |     
3470: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3471: *#       |                       |lw  |    |    |(TC)(I )      |     
3472: *#       |                       |    |#   |    |(RD)(TC)      |     
3473: *#       |                       |    |#   |    |(W )(RD)      |     
3474: *00000310|                       |    |lw  |    |(W )(W )      |     
3475: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3476: *#       |                       |addi|    |    |(TC)(I )      |     
3477: *#       |                       |    |addi|    |(RD)(I )      |     
3478: *00000314|                       |    |    |addi|(W )(I )      |     
3479: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3480: *#       |                       |addi|    |    |(TC)(I )      |     
3481: *#       |                       |    |addi|    |(RD)(I )      |     
3482: *00000318|                       |    |    |addi|(W )(I )      |     
3483: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3484: *#       |                       |add |    |    |(TC)(I )      |     
3485: *#       |                       |    |add |    |(RD)(I )      |     
3486: *0000031c|                       |    |    |add |(W )(I )      |     
3487: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3488: *#       |                       |sw  |    |    |(TC)(I )      |     
3489: *#       |                       |    |#   |    |(RD)(TC)      |     
3490: *#       |                       |    |#   |    |(W )(WD)      |     
3491: *00000320|                       |    |sw  |    |(W )(W )      |     
3492: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3493: *#       |                       |addi|    |    |(TC)(I )      |     
3494: *#       |                       |    |addi|    |(RD)(I )      |     
3495: *00000324|                       |    |    |addi|(W )(I )      |     
3496: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3497: */       |                       |bne |    |    |(TC)(I )      |     
3498: *#       |                       |    |bne |    |(RD)(I )      |     
3499: *#       |                       |    |    |bne |(W )(I )      |     
3500: *#       |                       |    |    |    |(I )(I )      |     
3501: *#       |                       |    |    |    |(TC)(I )      |     
3502: *#       |                       |    |    |    |(RD)(I )      |     
3503: *00000308|                       |    |    |    |(W )(I )      |     
3504: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3505: *#       |                       |lw  |    |    |(TC)(I )      |     
3506: *#       |                       |    |#   |    |(RD)(TC)      |     
3507: *#       |                       |    |#   |    |(W )(RD)      |     
3508: *0000030c|                       |    |lw  |    |(W )(W )      |     
3509: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3510: *#       |                       |lw  |    |    |(TC)(I )      |     
3511: *#       |                       |    |#   |    |(RD)(TC)      |     
3512: *#       |                       |    |#   |    |(W )(RD)      |     
3513: *00000310|                       |    |lw  |    |(W )(W )      |     
3514: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3515: *#       |                       |addi|    |    |(TC)(I )      |     
3516: *#       |                       |    |addi|    |(RD)(I )      |     
3517: *00000314|                       |    |    |addi|(W )(I )      |     
3518: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3519: *#       |                       |addi|    |    |(TC)(I )      |     
3520: *#       |                       |    |addi|    |(RD)(I )      |     
3521: *00000318|                       |    |    |addi|(W )(I )      |     
3522: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3523: *#       |                       |add |    |    |(TC)(I )      |     
3524: *#       |                       |    |add |    |(RD)(I )      |     
3525: *0000031c|                       |    |    |add |(W )(I )      |     
3526: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3527: *#       |                       |sw  |    |    |(TC)(I )      |     
3528: *#       |                       |    |#   |    |(RD)(TC)      |     
3529: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3530: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3531: *#       |                       |    |#   |    |(W )(RU)      |     
3532: *#       |                       |    |#   |    |(W )(WD)      |     
3533: *00000320|                       |    |sw  |    |(W )(W )      |     
3534: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3535: *#       |                       |addi|    |    |(TC)(I )      |     
3536: *#       |                       |    |addi|    |(RD)(I )      |     
3537: *00000324|                       |    |    |addi|(W )(I )      |     
3538: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3539: */       |                       |bne |    |    |(TC)(I )      |     
3540: *#       |                       |    |bne |    |(RD)(I )      |     
3541: *#       |                       |    |    |bne |(W )(I )      |     
3542: *#       |                       |    |    |    |(I )(I )      |     
3543: *#       |                       |    |    |    |(TC)(I )      |     
3544: *#       |                       |    |    |    |(RD)(I )      |     
3545: *00000308|                       |    |    |    |(W )(I )      |     
3546: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3547: *#       |                       |lw  |    |    |(TC)(I )      |     
3548: *#       |                       |    |#   |    |(RD)(TC)      |     
3549: *#       |                       |    |#   |    |(W )(EP)      |     
3550: *#       |                       |    |#   |    |(W )(ER)      |wr>  
3551: *#       |                       |    |#   |    |(W )(EW)      |  >wr
3552: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3553: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3554: *#       |                       |    |#   |    |(W )(RU)      |     
3555: *#       |                       |    |#   |    |(W )(RD)      |     
3556: *0000030c|                       |    |lw  |    |(W )(W )      |     
3557: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3558: *#       |                       |lw  |    |    |(TC)(I )      |     
3559: *#       |                       |    |#   |    |(RD)(TC)      |     
3560: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3561: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3562: *#       |                       |    |#   |    |(W )(RU)      |     
3563: *#       |                       |    |#   |    |(W )(RD)      |     
3564: *00000310|                       |    |lw  |    |(W )(W )      |     
3565: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3566: *#       |                       |addi|    |    |(TC)(I )      |     
3567: *#       |                       |    |addi|    |(RD)(I )      |     
3568: *00000314|                       |    |    |addi|(W )(I )      |     
3569: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3570: *#       |                       |addi|    |    |(TC)(I )      |     
3571: *#       |                       |    |addi|    |(RD)(I )      |     
3572: *00000318|                       |    |    |addi|(W )(I )      |     
3573: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3574: *#       |                       |add |    |    |(TC)(I )      |     
3575: *#       |                       |    |add |    |(RD)(I )      |     
3576: *0000031c|                       |    |    |add |(W )(I )      |     
3577: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3578: *#       |                       |sw  |    |    |(TC)(I )      |     
3579: *#       |                       |    |#   |    |(RD)(TC)      |     
3580: *#       |                       |    |#   |    |(W )(WD)      |     
3581: *00000320|                       |    |sw  |    |(W )(W )      |     
3582: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3583: *#       |                       |addi|    |    |(TC)(I )      |     
3584: *#       |                       |    |addi|    |(RD)(I )      |     
3585: *00000324|                       |    |    |addi|(W )(I )      |     
3586: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3587: */       |                       |bne |    |    |(TC)(I )      |     
3588: *#       |                       |    |bne |    |(RD)(I )      |     
3589: *#       |                       |    |    |bne |(W )(I )      |     
3590: *#       |                       |    |    |    |(I )(I )      |     
3591: *#       |                       |    |    |    |(TC)(I )      |     
3592: *#       |                       |    |    |    |(RD)(I )      |     
3593: *00000308|                       |    |    |    |(W )(I )      |     
3594: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3595: *#       |                       |lw  |    |    |(TC)(I )      |     
